OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,REPORT_AC,GIS_ACRES,OBJECTIVE,SHAPEAREA,SHAPELEN
34670,1997,CA,USF,LPF,LOGAN,00000000,1997/08/04 00:00:00+00,1997/08/16 00:00:00+00,49489,49490.4765625,1,299986203.383305,163181.008835598
34728,1993,CA,CCO,LAC,KINNELOA FIRE,00931516,1993/10/27 00:00:00+00,,,5453.49804688,1,32339563.7304821,50984.8217207164
34898,1993,CA,CCO,LAC,OLD TOPANGA FIRE,00000000,1993/11/02 00:00:00+00,,,16467.84179688,1,97366070.3947427,108827.448002376
34904,1993,CA,CDF,MMU,PG&E #4,00004996,,,,9373.2109375,1,59451459.1663053,41525.3225081032
34933,1996,CA,USF,MDF,DAMON/LONG,00000000,1996/08/26 00:00:00+00,1996/08/30 00:00:00+00,23398,23380.40625,1,169101799.545226,87753.5204723273
34991,1996,CA,CCO,KRN,WHITE OAK,00000000,1996/07/23 00:00:00+00,,,7180.49511719,1,43360988.1826537,32973.6470085648
35000,1996,CA,CDF,TCU,LIGHTNING # 29,00004556,1996/08/12 00:00:00+00,,,5490.03271484,1,35703430.6818431,27538.4187108543
35007,1997,CA,CCO,KRN,CHOCTAW,00000000,1997/08/19 00:00:00+00,,,10521.96972656,1,64322414.9105623,63432.0831896759
35046,1996,CA,CDF,MVU,HARMONY,00007979,1996/10/21 00:00:00+00,,,9359.45410156,1,54112863.9653126,49115.6257170799
35053,1999,CA,USF,SHF,JONES,00000000,1999/10/16 00:00:00+00,1999/10/30 00:00:00+00,26202,26202.59960938,1,184418026.507521,161263.573496001
35082,1999,CA,CDF,TGU,DEHAVEN,00002704,1999/08/23 00:00:00+00,,,16883.89453125,1,117543539.916336,74046.0368568252
35084,1999,CA,CDF,TGU,INKS,00002698,1999/08/23 00:00:00+00,,,5952.93554688,1,41457948.7780601,36706.6482268844
35204,1992,CA,USF,ENF,CLEVELAND,00000000,1992/09/29 00:00:00+00,1992/10/12 00:00:00+00,24580,22518.77734375,1,150279221.553683,78682.3865482715
35217,1995,CA,BLM,BBD,46,00000000,1995/06/01 00:00:00+00,1995/06/01 00:00:00+00,7495,7461.46777344,1,45810303.5701051,39682.2769634804
35312,1990,CA,USF,LNF,FINLEY,00000000,1990/08/08 00:00:00+00,1990/08/17 00:00:00+00,24000,35861.46875,1,249940015.819485,76223.5944661508
35322,1990,CA,CDF,TGU,CAMPBELL,00001798,1990/08/13 00:00:00+00,,,131504.21875,1,909061321.991248,152210.817773194
